id,codigo,descripcion,provincia_id
442,09,TAPACOCHA,26
443,10,TICAPAMPA,26
444,01,CHIMBOTE,27
445,02,CACERES DEL PERU,27
446,03,COISHCO,27
447,04,MACATE,27
448,05,MORO,27
449,06,NEPEÑA,27
450,07,SAMANCO,27
451,08,SANTA,27
452,09,NUEVO CHIMBOTE,27
453,01,SIHUAS,28
454,02,ACOBAMBA,28
455,03,ALFONSO UGARTE,28
456,04,CASHAPAMPA,28
457,05,CHINGALPO,28
458,06,HUAYLLABAMBA,28
459,07,QUICHES,28
460,08,RAGASH,28
461,09,SAN JUAN,28
462,10,SICSIBAMBA,28
463,01,YUNGAY,29
464,02,CASCAPARA,29
465,03,MANCOS,29
466,04,MATACOTO,29
467,05,QUILLO,29
468,06,RANRAHIRCA,29
469,07,SHUPLUY,29
470,08,YANAMA,29
471,01,ABANCAY,31
472,02,CHACOCHE,31
473,03,CIRCA,31
474,04,CURAHUASI,31
475,05,HUANIPACA,31
476,06,LAMBRAMA,31
477,07,PICHIRHUA,31
478,08,SAN PEDRO DE CACHORA,31
479,09,TAMBURCO,31
480,01,ANDAHUAYLAS,32
481,02,ANDARAPA,32
482,03,CHIARA,32
483,04,HUANCARAMA,32
484,05,HUANCARAY,32
485,06,HUAYANA,32
486,07,KISHUARA,32
487,08,PACOBAMBA,32
488,09,PACUCHA,32
489,10,PAMPACHIRI,32
490,11,POMACOCHA,32
491,12,SAN ANTONIO DE CACHI,32
492,13,SAN JERONIMO,32
493,14,SAN MIGUEL DE CHACCRAMPA,32
494,15,SANTA MARIA DE CHICMO,32
495,16,TALAVERA,32
496,17,TUMAY HUARACA,32
497,18,TURPO,32
498,19,KAQUIABAMBA,32
499,01,ANTABAMBA,33
500,02,EL ORO,33
501,03,HUAQUIRCA,33
502,04,JUAN ESPINOZA MEDRANO,33
503,05,OROPESA,33
504,06,PACHACONAS,33
505,07,SABAINO,33
506,01,CHALHUANCA,34
507,02,CAPAYA,34
508,03,CARAYBAMBA,34
509,04,CHAPIMARCA,34
510,05,COLCABAMBA,34
511,06,COTARUSE,34
512,07,HUAYLLO,34
513,08,JUSTO APU SAHUARAURA,34
514,09,LUCRE,34
515,10,POCOHUANCA,34
516,11,SAN JUAN DE CHACÑA,34
517,12,SAÑAYCA,34
518,13,SORAYA,34
519,14,TAPAIRIHUA,34
520,15,TINTAY,34
521,16,TORAYA,34
522,17,YANACA,34
523,01,TAMBOBAMBA,35
524,02,COTABAMBAS,35
525,03,COYLLURQUI,35
